Hour,Load,P_WT,P_PV,P_ST_Charge,P_ST_Discharge,SOC,P_Grid_Buy,P_Grid_Sell
0,35.0,2.3,0.0,0.0,2.7,0.5,30.0,0.0
1,35.0,1.96,0.0,0.0,3.04,0.4792,30.0,0.0
2,35.0,2.31,0.0,0.0,2.69,0.4557,30.0,0.0
3,35.0,2.68,0.0,0.0,2.32,0.4349,30.0,0.0
4,35.0,1.67,0.0,0.0,3.33,0.417,30.0,0.0
5,35.0,1.55,0.0,0.0,3.45,0.3913,30.0,0.0
6,35.0,2.34,0.0,0.0,2.66,0.3646,30.0,0.0
7,36.95,1.79,7.64,2.48,0.0,0.3441,30.0,0.0
8,38.83,1.04,7.79,0.0,0.0,0.3614,30.0,0.0
9,40.56,1.45,25.49,0.0,0.0,0.3614,13.62,0.0
10,42.07,0.85,31.65,0.0,0.0,0.3614,9.57,0.0
11,43.31,0.8,34.21,0.43,0.0,0.3614,8.73,0.0
12,44.24,1.15,36.41,23.32,0.0,0.3644,30.0,0.0
13,44.81,0.06,36.31,21.56,0.0,0.5268,30.0,0.0
14,45.0,0.21,31.47,16.68,0.0,0.677,30.0,0.0
15,44.81,0.89,24.41,10.48,0.0,0.7932,30.0,0.0
16,44.24,0.76,18.32,4.84,0.0,0.8663,30.0,0.0
17,43.31,1.56,9.23,0.0,2.52,0.9,30.0,0.0
18,42.07,1.07,0.0,0.0,25.26,0.8805,15.74,0.0
19,40.56,0.94,0.0,0.0,9.61,0.6855,30.0,0.0
20,38.83,2.54,0.0,0.0,6.29,0.6113,30.0,0.0
21,36.95,1.78,0.0,0.0,5.17,0.5628,30.0,0.0
22,35.0,2.01,0.0,0.0,2.99,0.5229,30.0,0.0
23,35.0,1.3,0.0,0.0,3.7,0.4998,30.0,0.0
24,35.04,1.77,0.0,0.0,3.28,0.4713,30.0,0.0
25,35.04,2.09,0.0,0.0,2.96,0.446,30.0,0.0
26,35.04,1.39,0.0,0.0,3.65,0.4232,30.0,0.0
27,35.04,2.09,0.0,0.0,2.95,0.395,30.0,0.0
28,35.04,1.48,0.0,0.0,3.56,0.3722,30.0,0.0
29,35.04,1.52,0.0,0.0,3.53,0.3447,30.0,0.0
30,35.04,1.23,0.0,0.0,3.82,0.3175,30.0,0.0
31,36.99,2.35,8.43,3.79,0.0,0.288,30.0,0.0
32,38.87,1.27,17.56,9.97,0.0,0.3144,30.0,0.0
33,40.6,0.63,25.2,15.23,0.0,0.3838,30.0,0.0
34,42.11,1.51,20.6,0.0,50.0,0.49,0.0,30.0
35,43.36,0.42,35.56,0.0,0.0,0.104,7.38,0.0
36,44.28,1.13,36.49,23.34,0.0,0.104,30.0,0.0
37,44.85,0.04,33.74,18.93,0.0,0.2666,30.0,0.0
38,45.04,0.41,29.8,15.17,0.0,0.3984,30.0,0.0
39,44.85,1.27,25.18,11.6,0.0,0.5041,30.0,0.0
40,44.28,1.66,16.96,4.33,0.0,0.5849,30.0,0.0
41,43.36,1.49,9.43,0.0,2.44,0.6151,30.0,0.0
42,42.11,1.48,0.0,0.0,10.64,0.5963,30.0,0.0
43,40.6,1.51,0.0,0.0,9.09,0.5142,30.0,0.0
44,38.87,1.03,0.0,0.0,7.84,0.444,30.0,0.0
45,36.99,1.53,0.0,0.0,5.47,0.3836,30.0,0.0
46,35.04,1.74,0.0,0.0,3.3,0.3414,30.0,0.0
47,35.04,0.0,0.0,0.0,5.04,0.3159,30.0,0.0
48,35.09,2.22,0.0,0.0,2.86,0.277,30.0,0.0
49,35.09,1.13,0.0,0.0,3.96,0.2549,30.0,0.0
50,35.09,2.14,0.0,0.0,2.94,0.2243,30.0,0.0
51,35.09,1.7,0.0,0.0,3.39,0.2016,30.0,0.0
52,35.09,1.44,0.0,0.0,3.64,0.1754,30.0,0.0
53,35.09,1.98,0.0,0.0,3.11,0.1473,30.0,0.0
54,35.09,2.06,0.0,0.0,3.02,0.1233,30.0,0.0
55,37.04,1.88,8.85,3.69,0.0,0.1,30.0,0.0
56,38.91,0.0,17.63,4.21,0.0,0.1257,25.5,0.0
