Hour,Load,P_WT,P_PV,P_ST_Charge,P_ST_Discharge,SOC,P_Grid_Buy,P_Grid_Sell
0,35.0,18.13,0.0,7.93,0.0,0.5,24.8,0.0
1,35.0,15.44,0.0,5.23,0.0,0.5518,24.8,0.0
2,35.0,18.2,0.0,8.0,0.0,0.586,24.8,0.0
3,35.0,21.09,0.0,10.89,0.0,0.6383,24.8,0.0
4,35.0,13.17,0.0,2.97,0.0,0.7095,24.8,0.0
5,35.0,12.2,0.0,0.0,0.0,0.7289,22.8,0.0
6,35.0,18.47,0.0,8.26,0.0,0.7289,24.8,0.0
7,36.95,14.15,9.4,0.0,0.0,0.7829,13.4,0.0
8,38.83,8.19,21.41,0.0,34.03,0.7829,0.0,24.8
9,40.56,11.43,31.38,0.0,22.53,0.5364,0.0,24.8
10,42.07,6.74,38.96,28.43,0.0,0.3733,24.8,0.0
11,43.31,6.32,42.13,0.0,19.66,0.559,0.0,24.8
12,44.24,9.04,44.83,34.43,0.0,0.4167,24.8,0.0
13,44.81,0.49,44.7,0.0,16.21,0.6417,0.0,16.59
14,45.0,1.65,38.75,20.2,0.0,0.5243,24.8,0.0
15,44.81,6.98,30.05,17.02,0.0,0.6563,24.8,0.0
16,44.24,6.0,22.56,9.11,0.0,0.7675,24.8,0.0
17,43.31,12.32,11.36,0.0,44.43,0.8271,0.0,24.8
18,42.07,8.44,0.0,0.0,8.84,0.5054,24.8,0.0
19,40.56,7.45,0.0,0.0,8.31,0.4414,24.8,0.0
20,38.83,20.02,0.0,5.99,0.0,0.3812,24.8,0.0
21,36.95,14.04,0.0,0.0,0.0,0.4203,22.91,0.0
22,35.0,15.86,0.0,5.66,0.0,0.4203,24.8,0.0
23,35.0,10.25,0.0,0.0,0.0,0.4573,24.75,0.0
24,35.04,13.93,0.0,3.69,0.0,0.4573,24.8,0.0
25,35.04,16.44,0.0,6.19,0.0,0.4814,24.8,0.0
26,35.04,10.95,0.0,0.7,0.0,0.5219,24.8,0.0
27,35.04,16.46,0.0,6.22,0.0,0.5265,24.8,0.0
28,35.04,11.69,0.0,0.0,0.0,0.5671,23.35,0.0
29,35.04,11.96,0.0,1.72,0.0,0.5671,24.8,0.0
30,35.04,9.67,0.0,0.0,0.58,0.5784,24.8,0.0
31,36.99,18.52,10.38,16.71,0.0,0.5742,24.8,0.0
32,38.87,10.03,21.63,17.58,0.0,0.6834,24.8,0.0
33,40.6,4.98,31.03,0.0,29.39,0.7983,0.0,24.8
34,42.11,11.92,38.69,0.0,16.3,0.5855,0.0,24.8
35,43.36,3.28,43.78,0.0,21.09,0.4675,0.0,24.8
36,44.28,8.91,44.93,34.35,0.0,0.3147,24.8,0.0
37,44.85,0.3,41.54,21.79,0.0,0.5393,24.8,0.0
38,45.04,3.25,36.7,19.7,0.0,0.6817,24.8,0.0
39,44.85,10.04,31.0,0.0,3.81,0.8104,0.0,0.0
40,44.28,13.06,20.88,14.46,0.0,0.7828,24.8,0.0
41,43.36,11.74,11.61,0.0,44.8,0.8773,0.0,24.8
42,42.11,11.63,0.0,0.0,5.69,0.5528,24.8,0.0
43,40.6,11.93,0.0,0.0,3.88,0.5117,24.8,0.0
44,38.87,8.15,0.0,0.0,5.92,0.4836,24.8,0.0
45,36.99,12.05,0.0,0.0,0.15,0.4407,24.8,0.0
46,35.04,13.73,0.0,3.49,0.0,0.4396,24.8,0.0
47,35.04,20.26,0.0,10.01,0.0,0.4624,24.8,0.0
48,35.09,17.51,0.0,7.22,0.0,0.5278,24.8,0.0
49,35.09,8.88,0.0,0.0,1.41,0.575,24.8,0.0
50,35.09,16.9,0.0,6.61,0.0,0.5648,24.8,0.0
51,35.09,13.39,0.0,3.1,0.0,0.608,24.8,0.0
52,35.09,11.38,0.0,1.09,0.0,0.6283,24.8,0.0
